Transaction ID,Date,Description,Category,Amount,Type,Running Balance
TXN-2026-0001,2026-07-24,PAYROLL DIRECT DEPOSIT TECHCORP NYC,Income,+1982.40,Credit,5222.90
TXN-2026-0002,2026-07-24,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-2.90,Debit,5220.00
TXN-2026-0003,2026-07-25,TRADER JOE'S #541 BROOKLYN NY,Groceries,-84.32,Debit,5135.68
TXN-2026-0004,2026-07-25,SWEETGREEN DUMBO BROOKLYN NY,Dining,-16.85,Debit,5118.83
TXN-2026-0005,2026-07-26,JOE COFFEE COMPANY NEW YORK NY,Dining,-5.75,Debit,5113.08
TXN-2026-0006,2026-07-27,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-5.80,Debit,5107.28
TXN-2026-0007,2026-07-28,BLINK FITNESS RECURRING DUES,Subscriptions,-28.00,Debit,5079.28
TXN-2026-0008,2026-07-29,CHIPOTLE ONLINE ORDER NEW YORK NY,Dining,-14.20,Debit,5065.08
TXN-2026-0009,2026-07-30,TARGET STORE T-2412 BROOKLYN NY,Groceries,-38.45,Debit,5026.63
TXN-2026-0010,2026-07-31,CITI BIKE RIDE SINGLE NYC,Transit,-4.99,Debit,5021.64
TXN-2026-0011,2026-08-01,ACH DEBIT NORTHSIDE PROPERTY MGMT RENT,Rent,-1850.00,Debit,3171.64
TXN-2026-0012,2026-08-01,APPLE.COM/BILL ICLOUD+ 50GB,Subscriptions,-2.99,Debit,3168.65
TXN-2026-0013,2026-08-02,WHOLE FOODS MKT BROOKLYN NY,Groceries,-62.10,Debit,3106.55
TXN-2026-0014,2026-08-03,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-5.80,Debit,3100.75
TXN-2026-0015,2026-08-04,CAFE GRUMPY GREENPOINT NY,Dining,-6.25,Debit,3094.50
TXN-2026-0016,2026-08-05,SPOTIFY USA RECURRING SUBSCRIPTION,Subscriptions,-11.99,Debit,3082.51
TXN-2026-0017,2026-08-06,CVS PHARMACY #0241 BROOKLYN NY,Health,-23.40,Debit,3059.11
TXN-2026-0018,2026-08-07,PAYROLL DIRECT DEPOSIT TECHCORP NYC,Income,+1982.40,Credit,5041.51
TXN-2026-0019,2026-08-07,XI'AN FAMOUS FOODS NEW YORK NY,Dining,-18.50,Debit,5023.01
TXN-2026-0020,2026-08-08,TRADER JOE'S #541 BROOKLYN NY,Groceries,-92.15,Debit,4930.86
TXN-2026-0021,2026-08-09,JOE'S PIZZA GREENWICH NEW YORK NY,Dining,-11.00,Debit,4919.86
TXN-2026-0022,2026-08-10,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-5.80,Debit,4914.06
TXN-2026-0023,2026-08-12,NETFLIX.COM MONTHLY SUBSCRIPTION,Subscriptions,-15.49,Debit,4898.57
TXN-2026-0024,2026-08-13,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-2.90,Debit,4895.67
TXN-2026-0025,2026-08-14,BLUE BOTTLE COFFEE NEW YORK NY,Dining,-7.50,Debit,4888.17
TXN-2026-0026,2026-08-15,KEY FOOD SUPERMARKET BROOKLYN NY,Groceries,-46.80,Debit,4841.37
TXN-2026-0027,2026-08-16,LYFT RIDE WILLIAMSBURG BROOKLYN,Transit,-26.40,Debit,4814.97
TXN-2026-0028,2026-08-17,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-5.80,Debit,4809.17
TXN-2026-0029,2026-08-18,CON EDISON NYC UTILITY BILL,Utilities,-78.30,Debit,4730.87
TXN-2026-0030,2026-08-20,SWEETGREEN SOHO NEW YORK NY,Dining,-17.25,Debit,4713.62
TXN-2026-0031,2026-08-21,PAYROLL DIRECT DEPOSIT TECHCORP NYC,Income,+1982.40,Credit,6696.02
TXN-2026-0032,2026-08-22,TRADER JOE'S #541 BROOKLYN NY,Groceries,-79.40,Debit,6616.62
TXN-2026-0033,2026-08-23,TACOS EL BRONCO BROOKLYN NY,Dining,-22.00,Debit,6594.62
TXN-2026-0034,2026-08-24,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-5.80,Debit,6588.82
TXN-2026-0035,2026-08-26,DUANE READE STORE 1419 NEW YORK NY,Health,-15.80,Debit,6573.02
TXN-2026-0036,2026-08-28,BLINK FITNESS RECURRING DUES,Subscriptions,-28.00,Debit,6545.02
TXN-2026-0037,2026-08-29,UNION MARKET PARK SLOPE NY,Groceries,-54.20,Debit,6490.82
TXN-2026-0038,2026-08-30,CITI BIKE RIDE SINGLE NYC,Transit,-4.99,Debit,6485.83
TXN-2026-0039,2026-09-01,ACH DEBIT NORTHSIDE PROPERTY MGMT RENT,Rent,-1850.00,Debit,4635.83
TXN-2026-0040,2026-09-01,APPLE.COM/BILL ICLOUD+ 50GB,Subscriptions,-2.99,Debit,4632.84
TXN-2026-0041,2026-09-02,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-5.80,Debit,4627.04
TXN-2026-0042,2026-09-03,TRADER JOE'S #541 BROOKLYN NY,Groceries,-88.90,Debit,4538.14
TXN-2026-0043,2026-09-04,PAYROLL DIRECT DEPOSIT TECHCORP NYC,Income,+1982.40,Credit,6520.54
TXN-2026-0044,2026-09-04,DAILY PROVISIONS MANHATTAN NY,Dining,-13.50,Debit,6507.04
TXN-2026-0045,2026-09-05,SPOTIFY USA RECURRING SUBSCRIPTION,Subscriptions,-11.99,Debit,6495.05
TXN-2026-0046,2026-09-06,WHOLE FOODS MKT BROOKLYN NY,Groceries,-58.40,Debit,6436.65
TXN-2026-0047,2026-09-07,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-2.90,Debit,6433.75
TXN-2026-0048,2026-09-08,CHIPOTLE ONLINE ORDER BROOKLYN NY,Dining,-15.10,Debit,6418.65
TXN-2026-0049,2026-09-09,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-5.80,Debit,6412.85
TXN-2026-0050,2026-09-11,UBER TRIP BROOKLYN NY,Transit,-31.25,Debit,6381.60
TXN-2026-0051,2026-09-12,NETFLIX.COM MONTHLY SUBSCRIPTION,Subscriptions,-15.49,Debit,6366.11
TXN-2026-0052,2026-09-13,TRADER JOE'S #541 BROOKLYN NY,Groceries,-82.60,Debit,6283.51
TXN-2026-0053,2026-09-14,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-5.80,Debit,6277.71
TXN-2026-0054,2026-09-16,CON EDISON NYC UTILITY BILL,Utilities,-84.15,Debit,6193.56
TXN-2026-0055,2026-09-17,SWEETGREEN BROOKLYN HEIGHTS NY,Dining,-17.50,Debit,6176.06
TXN-2026-0056,2026-09-18,PAYROLL DIRECT DEPOSIT TECHCORP NYC,Income,+1982.40,Credit,8158.46
TXN-2026-0057,2026-09-19,FARMERS MARKET GRAND ARMY PLAZA,Groceries,-34.00,Debit,8124.46
TXN-2026-0058,2026-09-20,JOE COFFEE COMPANY NEW YORK NY,Dining,-6.00,Debit,8118.46
TXN-2026-0059,2026-09-21,MTA*NYCT PAYGO OMNY NEW YORK NY,Transit,-5.80,Debit,8112.66
TXN-2026-0060,2026-09-22,CORNER BODEGA CIDER & DELI BROOKLYN,Dining,-8.50,Debit,8104.16
